url,date,team,opponent,place,home,runs,opponent_runs,victory,hits,errors,game_info,batter1_name,batter1_url,batter1_at_bat,batter1_hit,batter1_two_hit,batter1_three_hit,batter1_homerun,batter1_strikeout,batter1_four_balls,batter1_dead_ball,batter1_rbi,batter1_steal,batter1_position,batter2_name,batter2_url,batter2_at_bat,batter2_hit,batter2_two_hit,batter2_three_hit,batter2_homerun,batter2_strikeout,batter2_four_balls,batter2_dead_ball,batter2_rbi,batter2_steal,batter2_position,batter3_name,batter3_url,batter3_at_bat,batter3_hit,batter3_two_hit,batter3_three_hit,batter3_homerun,batter3_strikeout,batter3_four_balls,batter3_dead_ball,batter3_rbi,batter3_steal,batter3_position,batter4_name,batter4_url,batter4_at_bat,batter4_hit,batter4_two_hit,batter4_three_hit,batter4_homerun,batter4_strikeout,batter4_four_balls,batter4_dead_ball,batter4_rbi,batter4_steal,batter4_position,batter5_name,batter5_url,batter5_at_bat,batter5_hit,batter5_two_hit,batter5_three_hit,batter5_homerun,batter5_strikeout,batter5_four_balls,batter5_dead_ball,batter5_rbi,batter5_steal,batter5_position,batter6_name,batter6_url,batter6_at_bat,batter6_hit,batter6_two_hit,batter6_three_hit,batter6_homerun,batter6_strikeout,batter6_four_balls,batter6_dead_ball,batter6_rbi,batter6_steal,batter6_position,batter7_name,batter7_url,batter7_at_bat,batter7_hit,batter7_two_hit,batter7_three_hit,batter7_homerun,batter7_steal,batter7_strikeout,batter7_four_balls,batter7_rbi,batter7_run,batter7_dead_ball,batter8_name,batter8_url,batter8_at_bat,batter8_hit,batter8_two_hit,batter8_three_hit,batter8_homerun,batter8_steal,batter8_strikeout,batter8_four_balls,batter8_rbi,batter8_run,batter8_dead_ball,batter9_name,batter9_url,batter9_at_bat,batter9_hit,batter9_two_hit,batter9_three_hit,batter9_homerun,batter9_strikeout,batter9_four_balls,batter9_dead_ball,batter9_rbi,batter9_steal,batter9_position,other_batters_at_bat,other_batters_hit,other_batters_steal,other_batters_strikeout,other_batters_two_hit,other_batters_three_hit,other_batters_homerun,other_batters_four_balls,other_batters_dead_ball,st_name,st_url,st_pitches,st_batters,st_times,st_hits,st_homerun,st_four_balls,st_dead_ball,st_strikeout,st_wild_pitches,st_boke,st_runs,st_responsible_runs,re_pitches,re_batters,re_times,re_times_decimal,re_hits,re_homerun,re_four_balls,re_dead_ball,re_strikeout,re_wild_pitches,re_boke,re_runs,re_responsible_runs
http://npb.jp/scores/2018/0330/g-t-01/box.html,2018年3月30日（金）,阪神タイガース,読売ジャイアンツ,東京ドーム,0,5,1,1,13,0,"            【試合終了】            ◇開始 18時03分      ◇試合時間 2時間53分      ◇入場者 46,318人    ",髙山,http://npb.jp/bis/players/01005132.html,5,2,0,0,0,0,0,0,1,0,中,鳥谷,http://npb.jp/bis/players/21925119.html,5,1,0,0,0,1,0,0,0,0,二,糸井,http://npb.jp/bis/players/91195119.html,5,1,0,0,0,0,0,0,0,0,右,ロサリオ,http://npb.jp/bis/players/23725136.html,5,1,0,0,0,1,0,0,1,0,一,福留,http://npb.jp/bis/players/61963888.html,4,3,0,0,1,0,0,0,1,0,左,大山,http://npb.jp/bis/players/21325134.html,4,2,0,0,1,1,0,0,2,0,三,糸原,http://npb.jp/bis/players/81185134.html,4,2,0,0,0,0,0,0,0,0,遊,梅野,http://npb.jp/bis/players/21325139.html,3,1,0,0,0,1,0,0,0,0,捕,メッセンジャー,http://npb.jp/bis/players/93195131.html,3,0,0,0,0,3,0,0,0,0,投,1,0,0,0,0,0,0,0,0,メッセンジャー,http://npb.jp/bis/players/93195131.html,108,29,7,7,0,1,0,5,0,0,1,1,15,7,1,0,1,0,0,0,2,0,0,0,0
http://npb.jp/scores/2018/0330/g-t-01/box.html,2018年3月30日（金）,読売ジャイアンツ,阪神タイガース,東京ドーム,1,1,5,0,8,0,"            【試合終了】            ◇開始 18時03分      ◇試合時間 2時間53分      ◇入場者 46,318人    ",陽,http://npb.jp/bis/players/21825112.html,4,2,0,0,0,1,0,0,1,0,中,吉川尚,http://npb.jp/bis/players/73375134.html,4,0,0,0,0,0,0,0,0,0,二,坂本勇,http://npb.jp/bis/players/51955114.html,3,0,0,0,0,1,1,0,0,0,遊,ゲレーロ,http://npb.jp/bis/players/43545134.html,4,1,0,0,0,1,0,0,0,0,左,マギー,http://npb.jp/bis/players/21825137.html,4,0,0,0,0,2,0,0,0,0,三,岡本,http://npb.jp/bis/players/11515130.html,4,0,0,0,0,1,0,0,0,0,一,長野,http://npb.jp/bis/players/91995131.html,4,1,0,0,0,1,0,0,0,0,右,小林,http://npb.jp/bis/players/91795139.html,2,2,0,0,0,0,0,0,0,0,捕,菅野,http://npb.jp/bis/players/41745137.html,1,0,0,0,0,0,0,0,0,0,投,4,2,0,0,0,0,0,0,0,菅野,http://npb.jp/bis/players/41745137.html,120,33,7,12,2,0,0,6,0,0,5,5,28,7,1,0,1,0,0,0,1,0,0,0,0
http://npb.jp/scores/2018/0330/db-s-01/box.html,2018年3月30日（金）,東京ヤクルトスワローズ,横浜DeNAベイスターズ,横　浜,0,7,3,1,10,0,"            【試合終了】            ◇開始 18時33分      ◇試合時間 3時間34分      ◇入場者 28,933人    ",山田哲,http://npb.jp/bis/players/91895133.html,5,0,0,0,0,2,0,0,0,1,二,山崎,http://npb.jp/bis/players/33135132.html,2,0,0,0,0,1,3,0,0,0,右,バレンティン,http://npb.jp/bis/players/13315133.html,4,1,0,0,0,2,1,0,0,0,左,青木,http://npb.jp/bis/players/31135119.html,4,1,0,0,0,1,0,1,1,0,中,川端,http://npb.jp/bis/players/31735112.html,4,1,0,0,1,1,0,0,2,0,三,坂口,http://npb.jp/bis/players/21925117.html,5,4,2,0,0,0,0,0,2,0,一左,廣岡,http://npb.jp/bis/players/21625132.html,3,2,1,0,0,1,1,0,0,0,遊,中村,http://npb.jp/bis/players/51255118.html,3,0,0,0,0,0,0,0,1,0,捕,ブキャナン,http://npb.jp/bis/players/43745134.html,3,0,0,0,0,2,0,0,0,0,投,3,1,0,1,0,0,0,0,0,ブキャナン,http://npb.jp/bis/players/43745134.html,107,25,6,5,1,1,1,3,0,0,1,1,44,12,1,0,2,1,1,0,4,0,0,2,2
http://npb.jp/scores/2018/0330/db-s-01/box.html,2018年3月30日（金）,横浜DeNAベイスターズ,東京ヤクルトスワローズ,横　浜,1,3,7,0,7,2,"            【試合終了】            ◇開始 18時33分      ◇試合時間 3時間34分      ◇入場者 28,933人    ",桑原,http://npb.jp/bis/players/51755135.html,5,1,1,0,0,0,0,0,0,0,中,大和,http://npb.jp/bis/players/61465112.html,4,1,0,0,0,1,0,0,0,0,遊,筒香,http://npb.jp/bis/players/41945131.html,3,1,0,0,0,0,1,0,0,0,左,ロペス,http://npb.jp/bis/players/93195137.html,3,1,0,0,1,1,1,0,1,0,一,宮﨑,http://npb.jp/bis/players/51455137.html,4,2,0,0,1,0,0,0,2,0,三,戸柱,http://npb.jp/bis/players/41245132.html,4,0,0,0,0,2,0,0,0,0,捕,神里,http://npb.jp/bis/players/71575136.html,4,0,0,0,0,2,0,0,0,0,右,石田,http://npb.jp/bis/players/11315130.html,1,0,0,0,0,0,0,0,0,0,投,倉本,http://npb.jp/bis/players/91795130.html,4,1,0,0,0,1,0,0,0,0,二,2,0,0,0,0,0,0,0,1,石田,http://npb.jp/bis/players/11315130.html,108,27,5,7,1,3,1,7,0,0,5,2,83,18,1,0,3,0,3,0,4,0,0,2,2
http://npb.jp/scores/2018/0330/c-d-01/box.html,2018年3月30日（金）,中日ドラゴンズ,広島東洋カープ,マツダスタジアム,0,3,6,0,6,0,"            【試合終了】            ◇開始 18時00分      ◇試合時間 3時間17分      ◇入場者 31,379人    ",大島,http://npb.jp/bis/players/01305131.html,4,1,1,0,0,0,0,0,0,0,中,京田,http://npb.jp/bis/players/81585134.html,4,2,0,0,0,1,0,0,1,1,遊,アルモンテ,http://npb.jp/bis/players/43345136.html,4,1,0,0,0,0,0,0,0,0,左,ビシエド,http://npb.jp/bis/players/13715132.html,4,1,0,0,0,0,0,0,0,0,一,福田,http://npb.jp/bis/players/31635114.html,4,0,0,0,0,1,0,0,0,0,三,高橋,http://npb.jp/bis/players/91095135.html,2,0,0,0,0,2,2,0,0,0,二,平田,http://npb.jp/bis/players/61265112.html,3,1,0,0,0,1,1,0,0,0,右,松井雅,http://npb.jp/bis/players/51455131.html,2,0,0,0,0,0,0,0,1,0,捕,小笠原,http://npb.jp/bis/players/71575132.html,2,0,0,0,0,0,0,0,0,0,投,2,0,0,0,0,0,0,1,0,小笠原,http://npb.jp/bis/players/71575132.html,112,30,6,8,1,4,0,3,0,0,5,5,37,10,1,0,2,0,2,0,1,0,0,1,1
http://npb.jp/scores/2018/0330/c-d-01/box.html,2018年3月30日（金）,広島東洋カープ,中日ドラゴンズ,マツダスタジアム,1,6,3,1,10,1,"            【試合終了】            ◇開始 18時00分      ◇試合時間 3時間17分      ◇入場者 31,379人    ",田中,http://npb.jp/bis/players/61965139.html,5,3,1,0,0,0,0,0,2,0,遊,菊池,http://npb.jp/bis/players/61565135.html,4,0,0,0,0,0,1,0,0,0,二,丸,http://npb.jp/bis/players/21425116.html,4,1,1,0,0,1,1,0,0,0,中,鈴木,http://npb.jp/bis/players/81785137.html,4,1,1,0,0,1,1,0,1,0,右,松山,http://npb.jp/bis/players/01405116.html,3,0,0,0,0,1,0,0,1,0,左,エルドレッド,http://npb.jp/bis/players/13515135.html,3,2,1,0,1,0,1,0,1,0,一,安部,http://npb.jp/bis/players/91195116.html,4,2,0,1,0,0,0,0,1,0,三,會澤,http://npb.jp/bis/players/31135114.html,3,0,0,0,0,1,0,0,0,0,捕,野村,http://npb.jp/bis/players/21425135.html,1,0,0,0,0,0,1,0,0,0,投,1,1,0,0,0,0,0,1,0,野村,http://npb.jp/bis/players/21425135.html,96,23,6,4,0,2,0,3,0,0,3,3,48,13,1,0,2,0,2,0,2,0,0,0,0
http://npb.jp/scores/2018/0330/f-l-01/box.html,2018年3月30日（金）,埼玉西武ライオンズ,北海道日本ハムファイターズ,札幌ドーム,0,11,2,0,15,1,"            【試合終了】            ◇開始 18時34分      ◇試合時間 3時間5分      ◇入場者 38,693人    ",秋山,http://npb.jp/bis/players/31135133.html,5,2,2,0,0,1,0,0,3,0,中,源田,http://npb.jp/bis/players/71775134.html,4,1,0,0,0,0,0,0,2,0,遊,浅村,http://npb.jp/bis/players/51155118.html,4,1,0,0,0,1,1,0,0,0,二,山川,http://npb.jp/bis/players/21425139.html,5,1,0,0,0,1,0,0,1,0,一,森,http://npb.jp/bis/players/91495139.html,3,2,1,1,0,1,0,0,1,0,指,中村,http://npb.jp/bis/players/81085115.html,3,1,0,0,0,0,1,0,1,0,三,外崎,http://npb.jp/bis/players/41245130.html,4,4,0,0,0,0,1,0,2,0,右三,炭谷,http://npb.jp/bis/players/91995112.html,5,2,0,0,0,0,0,0,0,0,捕,金子侑,http://npb.jp/bis/players/01505137.html,4,0,0,0,0,1,0,0,0,1,左,3,1,0,0,1,0,0,0,0,菊池,http://npb.jp/bis/players/51755131.html,115,27,7,4,1,0,1,8,0,0,2,2,31,8,1,0,0,0,2,0,2,0,0,0,0
http://npb.jp/scores/2018/0330/f-l-01/box.html,2018年3月30日（金）,北海道日本ハムファイターズ,埼玉西武ライオンズ,札幌ドーム,1,2,11,1,4,0,"            【試合終了】            ◇開始 18時34分      ◇試合時間 3時間5分      ◇入場者 38,693人    ",西川,http://npb.jp/bis/players/21225133.html,4,0,0,0,0,4,0,0,0,0,中,横尾,http://npb.jp/bis/players/03105132.html,4,0,0,0,0,2,0,0,0,0,二,近藤,http://npb.jp/bis/players/41745135.html,3,2,1,0,0,0,1,0,0,0,右,中田,http://npb.jp/bis/players/61065116.html,3,0,0,0,0,0,0,1,0,0,一,レアード,http://npb.jp/bis/players/23525130.html,4,1,0,0,1,1,0,0,2,0,三,アルシア,http://npb.jp/bis/players/03305136.html,3,0,0,0,0,1,1,0,0,0,指,大田,http://npb.jp/bis/players/41345118.html,4,1,1,0,0,0,0,0,0,0,左,清水,http://npb.jp/bis/players/61965130.html,3,0,0,0,0,1,0,0,0,0,捕,中島卓也,http://npb.jp/bis/players/11215118.html,3,0,0,0,0,1,0,0,0,0,遊,1,0,0,0,0,0,0,0,0,ロドリゲス,http://npb.jp/bis/players/43745136.html,56,15,2.1,9,0,0,0,0,0,0,8,8,93,29,1,0,6,0,3,0,5,1,0,3,3
http://npb.jp/scores/2018/0330/m-e-01/box.html,2018年3月30日（金）,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,ZOZOマリン,0,3,2,1,11,0,"            【試合終了】            ◇開始 18時33分      ◇試合時間 5時間      ◇入場者 30,051人    ",茂木,http://npb.jp/bis/players/61865132.html,6,1,0,0,0,2,0,0,0,0,遊,ペゲーロ,http://npb.jp/bis/players/83085132.html,5,1,0,0,0,3,1,0,0,0,右,島内,http://npb.jp/bis/players/71975135.html,5,0,0,0,0,0,0,1,0,0,中左,ウィーラー,http://npb.jp/bis/players/03105130.html,5,4,1,0,0,0,1,0,0,0,三,銀次,http://npb.jp/bis/players/71375112.html,5,1,0,1,0,0,1,0,2,0,二一,内田,http://npb.jp/bis/players/01305139.html,4,0,0,0,0,2,0,0,0,0,一,アマダー,http://npb.jp/bis/players/23325132.html,2,2,1,0,0,0,0,0,0,0,指,嶋,http://npb.jp/bis/players/01905114.html,3,0,0,0,0,2,2,0,0,0,捕,岡島,http://npb.jp/bis/players/21325135.html,4,0,0,0,0,1,1,0,0,0,左右,4,2,1,1,0,0,0,0,0,則本,http://npb.jp/bis/players/51055137.html,150,33,7,9,0,3,0,5,0,0,1,1,81,19,1,0,4,0,2,0,4,0,0,1,1
http://npb.jp/scores/2018/0330/m-e-01/box.html,2018年3月30日（金）,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,ZOZOマリン,1,2,3,0,13,0,"            【試合終了】            ◇開始 18時33分      ◇試合時間 5時間      ◇入場者 30,051人    ",荻野,http://npb.jp/bis/players/71575131.html,5,2,1,0,0,1,1,0,0,1,中,藤岡裕,http://npb.jp/bis/players/41645136.html,6,3,1,1,0,2,0,0,0,0,遊,中村,http://npb.jp/bis/players/51455130.html,6,3,0,1,0,0,0,0,1,0,二,井上,http://npb.jp/bis/players/11315139.html,4,1,0,0,0,1,0,0,0,0,一,鈴木,http://npb.jp/bis/players/81985135.html,4,1,0,0,0,3,2,0,1,0,三,菅野,http://npb.jp/bis/players/41945136.html,3,1,0,0,0,0,1,0,0,0,左,福浦,http://npb.jp/bis/players/21923889.html,5,1,0,0,0,0,1,0,0,0,指,田村,http://npb.jp/bis/players/41945137.html,5,0,0,0,0,1,0,0,0,0,捕,加藤,http://npb.jp/bis/players/91595137.html,5,1,0,0,0,0,0,0,0,1,右左,2,0,0,1,0,0,0,0,0,涌井,http://npb.jp/bis/players/31635110.html,109,27,7,6,0,3,0,4,1,0,0,0,106,25,1,0,5,0,4,1,7,0,0,3,3
http://npb.jp/scores/2018/0330/h-bs-01/box.html,2018年3月30日（金）,オリックス・バファローズ,福岡ソフトバンクホークス,ヤフオクドーム,0,0,2,0,1,1,"            【試合終了】            ◇開始 18時30分      ◇試合時間 2時間46分      ◇入場者 38,530人    ",宗,http://npb.jp/bis/players/11815130.html,3,0,0,0,0,1,0,0,0,0,中,山足,http://npb.jp/bis/players/13115136.html,3,1,0,0,0,1,0,0,0,0,二,吉田正,http://npb.jp/bis/players/63165132.html,3,0,0,0,0,0,0,0,0,0,左,ロメロ,http://npb.jp/bis/players/73975134.html,3,0,0,0,0,1,0,0,0,0,右,小谷野,http://npb.jp/bis/players/71975117.html,2,0,0,0,0,0,1,0,0,0,一,マレーロ,http://npb.jp/bis/players/33035134.html,3,0,0,0,0,2,0,0,0,0,指,大城,http://npb.jp/bis/players/11515132.html,2,0,0,0,0,2,0,0,0,0,三,伊藤,http://npb.jp/bis/players/81185116.html,2,0,0,0,0,0,0,0,0,0,捕,安達,http://npb.jp/bis/players/31135135.html,2,0,0,0,0,1,0,0,0,0,遊,3,0,0,2,0,0,0,0,0,西,http://npb.jp/bis/players/71275118.html,125,30,7.1,7,0,1,0,8,0,0,2,2,9,3,0.2,0,0,0,1,0,2,0,0,0,0
